,group1,group2,meandiff,p-adj,lower,upper,reject
0,F1,F1_diff2,-301.5943,0.001,-336.018,-267.1707,True
1,F1,F2,647.3214,0.001,612.8977,681.745,True
2,F1,F2_diff2,-214.7054,0.001,-249.129,-180.2817,True
3,F1,F3,2145.3383,0.001,2110.9146,2179.762,True
4,F1,F3_diff2,-140.9978,0.001,-175.4215,-106.5742,True
5,F1,F4,3283.9247,0.001,3249.501,3318.3483,True
6,F1,F4_diff2,-158.6981,0.001,-193.1218,-124.2744,True
7,F1,F5,4371.3256,0.001,4336.9019,4405.7493,True
8,F1,F5_diff2,-123.193,0.001,-157.6166,-88.7693,True
9,F1,disp(F4-F3),760.904,0.001,726.4803,795.3276,True
10,F1,disp(F5-F1),3993.6432,0.001,3959.2195,4028.0669,True
11,F1,disp(F5-F3),1848.3049,0.001,1813.8812,1882.7286,True
12,F1,disp(F5-F4),709.7185,0.001,675.2949,744.1422,True
13,F1_diff2,F2,948.9157,0.001,914.492,983.3394,True
14,F1_diff2,F2_diff2,86.889,0.001,52.4653,121.3126,True
15,F1_diff2,F3,2446.9326,0.001,2412.509,2481.3563,True
16,F1_diff2,F3_diff2,160.5965,0.001,126.1728,195.0202,True
17,F1_diff2,F4,3585.519,0.001,3551.0953,3619.9427,True
18,F1_diff2,F4_diff2,142.8962,0.001,108.4726,177.3199,True
19,F1_diff2,F5,4672.9199,0.001,4638.4963,4707.3436,True
20,F1_diff2,F5_diff2,178.4014,0.001,143.9777,212.825,True
21,F1_diff2,disp(F4-F3),1062.4983,0.001,1028.0746,1096.922,True
22,F1_diff2,disp(F5-F1),4295.2375,0.001,4260.8139,4329.6612,True
23,F1_diff2,disp(F5-F3),2149.8992,0.001,2115.4756,2184.3229,True
24,F1_diff2,disp(F5-F4),1011.3129,0.001,976.8892,1045.7365,True
25,F2,F2_diff2,-862.0267,0.001,-896.4504,-827.6031,True
26,F2,F3,1498.0169,0.001,1463.5933,1532.4406,True
27,F2,F3_diff2,-788.3192,0.001,-822.7429,-753.8955,True
28,F2,F4,2636.6033,0.001,2602.1796,2671.027,True
29,F2,F4_diff2,-806.0195,0.001,-840.4431,-771.5958,True
30,F2,F5,3724.0042,0.001,3689.5806,3758.4279,True
31,F2,F5_diff2,-770.5143,0.001,-804.938,-736.0907,True
32,F2,disp(F4-F3),113.5826,0.001,79.1589,148.0063,True
33,F2,disp(F5-F1),3346.3218,0.001,3311.8982,3380.7455,True
34,F2,disp(F5-F3),1200.9835,0.001,1166.5599,1235.4072,True
35,F2,disp(F5-F4),62.3972,0.001,27.9735,96.8208,True
36,F2_diff2,F3,2360.0437,0.001,2325.62,2394.4673,True
37,F2_diff2,F3_diff2,73.7075,0.001,39.2839,108.1312,True
38,F2_diff2,F4,3498.63,0.001,3464.2064,3533.0537,True
39,F2_diff2,F4_diff2,56.0073,0.001,21.5836,90.4309,True
40,F2_diff2,F5,4586.031,0.001,4551.6073,4620.4546,True
41,F2_diff2,F5_diff2,91.5124,0.001,57.0887,125.9361,True
42,F2_diff2,disp(F4-F3),975.6093,0.001,941.1857,1010.033,True
43,F2_diff2,disp(F5-F1),4208.3486,0.001,4173.9249,4242.7722,True
44,F2_diff2,disp(F5-F3),2063.0103,0.001,2028.5866,2097.4339,True
45,F2_diff2,disp(F5-F4),924.4239,0.001,890.0002,958.8476,True
46,F3,F3_diff2,-2286.3361,0.001,-2320.7598,-2251.9125,True
47,F3,F4,1138.5864,0.001,1104.1627,1173.01,True
48,F3,F4_diff2,-2304.0364,0.001,-2338.4601,-2269.6127,True
49,F3,F5,2225.9873,0.001,2191.5636,2260.411,True
50,F3,F5_diff2,-2268.5313,0.001,-2302.9549,-2234.1076,True
51,F3,disp(F4-F3),-1384.4343,0.001,-1418.858,-1350.0107,True
52,F3,disp(F5-F1),1848.3049,0.001,1813.8812,1882.7286,True
53,F3,disp(F5-F3),-297.0334,0.001,-331.457,-262.6097,True
54,F3,disp(F5-F4),-1435.6198,0.001,-1470.0434,-1401.1961,True
55,F3_diff2,F4,3424.9225,0.001,3390.4988,3459.3462,True
56,F3_diff2,F4_diff2,-17.7003,0.9,-52.1239,16.7234,False
57,F3_diff2,F5,4512.3234,0.001,4477.8998,4546.7471,True
58,F3_diff2,F5_diff2,17.8049,0.9,-16.6188,52.2285,False
59,F3_diff2,disp(F4-F3),901.9018,0.001,867.4781,936.3255,True
60,F3_diff2,disp(F5-F1),4134.641,0.001,4100.2174,4169.0647,True
61,F3_diff2,disp(F5-F3),1989.3027,0.001,1954.8791,2023.7264,True
62,F3_diff2,disp(F5-F4),850.7164,0.001,816.2927,885.14,True
63,F4,F4_diff2,-3442.6228,0.001,-3477.0464,-3408.1991,True
64,F4,F5,1087.4009,0.001,1052.9773,1121.8246,True
65,F4,F5_diff2,-3407.1176,0.001,-3441.5413,-3372.694,True
66,F4,disp(F4-F3),-2523.0207,0.001,-2557.4444,-2488.597,True
67,F4,disp(F5-F1),709.7185,0.001,675.2949,744.1422,True
68,F4,disp(F5-F3),-1435.6198,0.001,-1470.0434,-1401.1961,True
69,F4,disp(F5-F4),-2574.2061,0.001,-2608.6298,-2539.7825,True
70,F4_diff2,F5,4530.0237,0.001,4495.6,4564.4474,True
71,F4_diff2,F5_diff2,35.5051,0.0357,1.0815,69.9288,True
72,F4_diff2,disp(F4-F3),919.6021,0.001,885.1784,954.0257,True
73,F4_diff2,disp(F5-F1),4152.3413,0.001,4117.9176,4186.765,True
74,F4_diff2,disp(F5-F3),2007.003,0.001,1972.5793,2041.4267,True
75,F4_diff2,disp(F5-F4),868.4166,0.001,833.993,902.8403,True
76,F5,F5_diff2,-4494.5186,0.001,-4528.9422,-4460.0949,True
77,F5,disp(F4-F3),-3610.4216,0.001,-3644.8453,-3575.998,True
78,F5,disp(F5-F1),-377.6824,0.001,-412.1061,-343.2587,True
79,F5,disp(F5-F3),-2523.0207,0.001,-2557.4444,-2488.597,True
80,F5,disp(F5-F4),-3661.6071,0.001,-3696.0307,-3627.1834,True
81,F5_diff2,disp(F4-F3),884.0969,0.001,849.6733,918.5206,True
82,F5_diff2,disp(F5-F1),4116.8362,0.001,4082.4125,4151.2599,True
83,F5_diff2,disp(F5-F3),1971.4979,0.001,1937.0742,2005.9216,True
84,F5_diff2,disp(F5-F4),832.9115,0.001,798.4878,867.3352,True
85,disp(F4-F3),disp(F5-F1),3232.7392,0.001,3198.3156,3267.1629,True
86,disp(F4-F3),disp(F5-F3),1087.4009,0.001,1052.9773,1121.8246,True
87,disp(F4-F3),disp(F5-F4),-51.1854,0.001,-85.6091,-16.7618,True
88,disp(F5-F1),disp(F5-F3),-2145.3383,0.001,-2179.762,-2110.9146,True
89,disp(F5-F1),disp(F5-F4),-3283.9247,0.001,-3318.3483,-3249.501,True
90,disp(F5-F3),disp(F5-F4),-1138.5864,0.001,-1173.01,-1104.1627,True
